Rank     Team                            W-L-T    Schedule Factor
608        New Hampshire                   3-1-0    14.2586
609        Hampton                         2-4-0    14.0219
610        Abilene Christian               3-3-0    13.9998
611        Rocky Mountain                  1-3-0    13.9968
612        Marist                          0-2-0    13.9287
613        Montana                         5-0-0    13.8899
614        Towson                          2-3-0    13.8647
615        Air Force                       3-2-0    13.8589
616        Cornell                         0-3-0    13.7899
617        Urbana                          0-5-0    13.7882
618        Ohio Dominican                  5-0-0    13.7841
619        Stetson                         0-2-0    13.7054
620        Central St OH                   0-1-0    13.6659
621        Northwood                       2-3-0    13.5979
622        Ferris St                       5-0-0    13.5529
623        Midwestern St                   4-2-0    13.5221
624        Texas Southern                  1-2-0    13.4761
625        North Greenville                1-4-0    13.4469
626        North Carolina Central          2-3-0    13.4064
627        Presbyterian                    4-1-0    13.3805
628        Montana St-Northern             2-4-0    13.3789
629        Idaho St                        5-0-0    13.3367
630        Mississippi College             0-2-0    13.3353
631        Misericordia                    0-2-0    13.3076
632        Northwood                       3-1-0    13.2413
633        William & Mary                  3-1-0    13.2332
634        Norfolk St                      0-2-0    13.1769
635        UC-Davis                        1-3-0    13.1498
636        Arkansas Tech                   0-4-0    13.0475
637        Columbia                        0-3-0    13.0366
638        Brown                           2-2-0    13.0129
639        TAMU-Kingsville                 0-1-0    13.0084
640        Alabama St                      1-3-0    13.0045
641        Rice                            3-1-0    12.9776
642        Millersville                    0-3-0    12.9454
643        Hillsdale                       3-1-0    12.9282
644        Montana St-Northern             1-4-0    12.913
645        Tennessee St                    4-3-0    12.7953
646        Albany NY                       3-3-0    12.5675
647        Stephen F. Austin               4-2-0    12.5651
648        Montana-Western                 2-2-0    12.5608
649        New Mexico St                   1-3-0    12.5348
650        Bucknell                        3-1-0    12.4991
651        Incarnate Word                  0-1-0    12.4853
652        Alabama A&M                     0-5-0    12.1986
653        Maine                           3-2-0    12.198
654        Weber St                        1-3-0    12.1804
655        Sacred Heart                    4-0-0    12.1801
656        Tarleton St                     1-3-0    12.1158
657        Stony Brook                     2-2-0    12.0227
658        Ferris St                       6-0-0    11.9938
659        SE Louisiana                    6-0-0    11.9882
660        Cheyney                         0-2-0    11.981
661        St Olaf                         0-1-0    11.9161
662        Wayne St MI                     4-2-0    11.8911
663        Robert Morris PA                0-2-0    11.8864
664        Liberty                         3-2-0    11.8799
665        Eastern Washington              6-0-0    11.7526
666        Kentucky Christian              0-1-0    11.7124
667        Fort Lewis                      1-4-0    11.5714
668        King's PA                       0-2-0    11.5673
669        Lehigh                          2-3-0    11.544
670        Dartmouth                       4-1-0    11.4317
671        Colorado St-Pueblo              5-0-0    11.3267
672        Robert Morris PA                0-2-0    11.294
673        Arkansas-Pine Bluff             1-2-0    11.2194
674        Walsh                           3-2-0    11.2158
675        Fairmont St                     2-3-0    11.2004
676        Lewis & Clark                   0-1-0    11.1957
677        George Fox                      0-1-0    11.1957
678        Charleston Southern             0-1-0    11.1696
679        West Virginia St                0-1-0    11.0722
680        Eastern Oregon                  5-1-0    11.069
681        Findlay                         3-3-0    11.0543
682        Simon Fraser                    0-1-0    10.9753
683        Abilene Christian               3-3-0    10.9635
